ds,return_pct,IQR,STL_IQR,ModZscore,methods_count
2019-02-12,1.28902247439735,0,0,0,0
2019-02-13,0.3023994668760688,0,0,0,0
2019-02-14,-0.2651641555101225,0,0,0,0
2019-02-15,1.087875260858695,0,0,0,0
2019-02-19,0.14987433214488366,0,0,0,0
2019-02-20,0.17771107537685182,0,0,0,0
2019-02-21,-0.3526436790880272,0,0,0,0
2019-02-22,0.6411102394986878,0,0,0,0
2019-02-25,0.12318625699112573,0,0,0,0
2019-02-26,-0.07904570968998437,0,0,0,0
2019-02-27,-0.05440493877303387,0,0,0,0
2019-02-28,-0.28255083152146643,0,0,0,0
2019-03-01,0.689532059343434,0,0,0,0
2019-03-04,-0.3880558492514008,0,0,0,0
2019-03-05,-0.1131532823106185,0,0,0,0
2019-03-06,-0.6524098653592381,0,0,0,0
2019-03-07,-0.8125717558683521,0,0,0,0
2019-03-08,-0.21316888487414865,0,0,0,0
2019-03-11,1.4666041867757107,0,0,0,0
2019-03-12,0.29533182046204143,0,0,0,0
2019-03-13,0.6949583813841809,0,0,0,0
2019-03-14,-0.08680223820187738,0,0,0,0
2019-03-15,0.498490290027398,0,0,0,0
2019-03-18,0.37059469012648005,0,0,0,0
2019-03-19,-0.01305615560248663,0,0,0,0
2019-03-20,-0.29443536044478913,0,0,0,0
2019-03-21,1.0852481049954399,0,0,0,0
2019-03-22,-1.8974501239482744,0,0,0,0
2019-03-25,-0.0839020658475631,0,0,0,0
2019-03-26,0.7182725862306283,0,0,0,0
2019-03-27,-0.46443248906916645,0,0,0,0
2019-03-28,0.3589481529391092,0,0,0,0
2019-03-29,0.6734280017363758,0,0,0,0
2019-04-01,1.1568600124275408,0,0,0,0
2019-04-02,0.001745570720723677,0,0,0,0
2019-04-03,0.2148376881724312,0,0,0,0
2019-04-04,0.20846350796801527,0,0,0,0
2019-04-05,0.4636432770241061,0,0,0,0
2019-04-08,0.10474599539205265,0,0,0,0
2019-04-09,-0.6067494393846573,0,0,0,0
2019-04-10,0.34778715639784963,0,0,0,0
2019-04-11,0.0038123067008344336,0,0,0,0
2019-04-12,0.6609324208602496,0,0,0,0
2019-04-15,-0.06293691084816588,0,0,0,0
2019-04-16,0.050935800389462216,0,0,0,0
2019-04-17,-0.22738117853239315,0,0,0,0
2019-04-18,0.15790922795098083,0,0,0,0
2019-04-22,0.10120175614714011,0,0,0,0
2019-04-23,0.8841205788409079,0,0,0,0
2019-04-24,-0.21917631747336852,0,0,0,0
2019-04-25,-0.03689736527457965,0,0,0,0
2019-04-26,0.46852921407636305,0,0,0,0
2019-04-29,0.10715221743553549,0,0,0,0
2019-04-30,0.09514170090862972,0,0,0,0
2019-05-01,-0.7502163081421376,0,0,0,0
2019-05-02,-0.21239857917741967,0,0,0,0
2019-05-03,0.9638279380647763,0,0,0,0
2019-05-06,-0.4470988428756373,0,0,0,0
2019-05-07,-1.6511651392423388,0,0,0,0
2019-05-08,-0.16054253132695706,0,0,0,0
